trial,model,decision,score,altscore,rt,distance,countA,countB,maxspeed_front,maxspeed_back
ABAABABAABAABA,information,A,0.67988480751028646,0.40793088450617188,8,6,9,5,0.5714285714285714,0.7142857142857143
ABAABABAABAABA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,9,5,0.5714285714285714,0.7142857142857143
ABAABABAABAABA,abscount,N,,,,6,9,5,0.5714285714285714,0.7142857142857143
ABAABABAABAABA,likelihood_ratio,A,1.380211241711606,0,7,6,9,5,0.5714285714285714,0.7142857142857143
ABAABABAABAABA,naive_probability,A,0.75,0,3,6,9,5,0.5714285714285714,0.7142857142857143
ABAABABAABAABB,information,A,0.67988480751028646,0.40793088450617188,8,7,8,6,0.5714285714285714,0.5714285714285714
ABAABABAABAABB,relcount,A,0.6666666666666666,0.33333333333333337,3,7,8,6,0.5714285714285714,0.5714285714285714
ABAABABAABAABB,abscount,N,,,,7,8,6,0.5714285714285714,0.5714285714285714
ABAABABAABAABB,likelihood_ratio,A,1.380211241711606,0,7,7,8,6,0.5714285714285714,0.5714285714285714
ABAABABAABAABB,naive_probability,A,0.75,0,3,7,8,6,0.5714285714285714,0.5714285714285714
AABABAABAAAAAB,information,A,0.67988480751028646,0.27195392300411458,7,7,10,4,0.7142857142857143,0.7142857142857143
AABABAABAAAAAB,relcount,A,0.6666666666666666,0.33333333333333337,3,7,10,4,0.7142857142857143,0.7142857142857143
AABABAABAAAAAB,abscount,A,0.7142857142857143,0.21428571428571427,13,7,10,4,0.7142857142857143,0.7142857142857143
AABABAABAAAAAB,likelihood_ratio,A,1.6532125137753435,0,7,7,10,4,0.7142857142857143,0.7142857142857143
AABABAABAAAAAB,naive_probability,A,0.75,0,1,7,10,4,0.7142857142857143,0.7142857142857143
AABABAABAAAAAA,information,A,0.67988480751028646,0.27195392300411458,7,6,11,3,0.7142857142857143,0.8571428571428571
AABABAABAAAAAA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,11,3,0.7142857142857143,0.8571428571428571
AABABAABAAAAAA,abscount,A,0.7142857142857143,0.21428571428571427,13,6,11,3,0.7142857142857143,0.8571428571428571
AABABAABAAAAAA,likelihood_ratio,A,1.6532125137753435,0,7,6,11,3,0.7142857142857143,0.8571428571428571
AABABAABAAAAAA,naive_probability,A,0.75,0,1,6,11,3,0.7142857142857143,0.8571428571428571
AABBBBBBABBBAB,information,B,0.67988480751028646,0.27195392300411458,7,5,4,10,0.7142857142857143,0.7142857142857143
AABBBBBBABBBAB,relcount,A,0.6666666666666666,0.33333333333333337,3,5,4,10,0.7142857142857143,0.7142857142857143
AABBBBBBABBBAB,abscount,B,0.7142857142857143,0.2857142857142857,14,5,4,10,0.7142857142857143,0.7142857142857143
AABBBBBBABBBAB,likelihood_ratio,B,-1.3521825181113623,0,9,5,4,10,0.7142857142857143,0.7142857142857143
AABBBBBBABBBAB,naive_probability,A,0.75,0,1,5,4,10,0.7142857142857143,0.7142857142857143
AABBBBBBABBBAA,information,B,0.67988480751028646,0.27195392300411458,7,6,5,9,0.7142857142857143,0.5714285714285714
AABBBBBBABBBAA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,5,9,0.7142857142857143,0.5714285714285714
AABBBBBBABBBAA,abscount,N,,,,6,5,9,0.7142857142857143,0.5714285714285714
AABBBBBBABBBAA,likelihood_ratio,B,-1.3521825181113623,0,9,6,5,9,0.7142857142857143,0.5714285714285714
AABBBBBBABBBAA,naive_probability,A,0.75,0,1,6,5,9,0.7142857142857143,0.5714285714285714
ABABABABBABBBB,information,B,0.67988480751028646,0.54390784600822917,9,4,5,9,0.5714285714285714,0.8571428571428571
ABABABABBABBBB,relcount,A,0.6666666666666666,0.33333333333333337,3,4,5,9,0.5714285714285714,0.8571428571428571
ABABABABBABBBB,abscount,N,,,,4,5,9,0.5714285714285714,0.8571428571428571
ABABABABBABBBB,likelihood_ratio,N,,,,4,5,9,0.5714285714285714,0.8571428571428571
ABABABABBABBBB,naive_probability,B,0.75,0,8,4,5,9,0.5714285714285714,0.8571428571428571
ABABABABBABBBA,information,B,0.67988480751028646,0.54390784600822917,9,5,6,8,0.5714285714285714,0.7142857142857143
ABABABABBABBBA,relcount,A,0.6666666666666666,0.33333333333333337,3,5,6,8,0.5714285714285714,0.7142857142857143
ABABABABBABBBA,abscount,N,,,,5,6,8,0.5714285714285714,0.7142857142857143
ABABABABBABBBA,likelihood_ratio,N,,,,5,6,8,0.5714285714285714,0.7142857142857143
ABABABABBABBBA,naive_probability,B,0.75,0,8,5,6,8,0.5714285714285714,0.7142857142857143
AAAAAAAAABBAAA,information,A,0.67988480751028646,0.0,5,7,12,2,1.0,0.7142857142857143
AAAAAAAAABBAAA,relcount,A,0.9,0.09999999999999998,10,7,12,2,1.0,0.7142857142857143
AAAAAAAAABBAAA,abscount,A,0.7142857142857143,0.14285714285714285,12,7,12,2,1.0,0.7142857142857143
AAAAAAAAABBAAA,likelihood_ratio,A,1.6074550232146685,0,11,7,12,2,1.0,0.7142857142857143
AAAAAAAAABBAAA,naive_probability,A,0.75,0,1,7,12,2,1.0,0.7142857142857143
AAAABBBAAAABAA,information,A,0.67988480751028646,0.40793088450617188,8,7,10,4,0.5714285714285714,0.8571428571428571
AAAABBBAAAABAA,relcount,A,0.8,0.19999999999999996,5,7,10,4,0.5714285714285714,0.8571428571428571
AAAABBBAAAABAA,abscount,A,0.7142857142857143,0.2857142857142857,14,7,10,4,0.5714285714285714,0.8571428571428571
AAAABBBAAAABAA,likelihood_ratio,A,1.5509074688805806,0,9,7,10,4,0.5714285714285714,0.8571428571428571
AAAABBBAAAABAA,naive_probability,A,0.75,0,1,7,10,4,0.5714285714285714,0.8571428571428571
AAAABBBAAAABAB,information,A,0.67988480751028646,0.40793088450617188,8,6,9,5,0.5714285714285714,0.7142857142857143
AAAABBBAAAABAB,relcount,A,0.8,0.19999999999999996,5,6,9,5,0.5714285714285714,0.7142857142857143
AAAABBBAAAABAB,abscount,N,,,,6,9,5,0.5714285714285714,0.7142857142857143
AAAABBBAAAABAB,likelihood_ratio,A,1.5509074688805806,0,9,6,9,5,0.5714285714285714,0.7142857142857143
AAAABBBAAAABAB,naive_probability,A,0.75,0,1,6,9,5,0.5714285714285714,0.7142857142857143
AABABABBABAAAA,information,A,0.67988480751028646,0.54390784600822917,9,6,9,5,0.5714285714285714,0.7142857142857143
AABABABBABAAAA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,9,5,0.5714285714285714,0.7142857142857143
AABABABBABAAAA,abscount,N,,,,6,9,5,0.5714285714285714,0.7142857142857143
AABABABBABAAAA,likelihood_ratio,A,1.380211241711606,0,7,6,9,5,0.5714285714285714,0.7142857142857143
AABABABBABAAAA,naive_probability,A,0.75,0,1,6,9,5,0.5714285714285714,0.7142857142857143
AABABABBABAAAB,information,A,0.67988480751028646,0.54390784600822917,9,7,8,6,0.5714285714285714,0.5714285714285714
AABABABBABAAAB,relcount,A,0.6666666666666666,0.33333333333333337,3,7,8,6,0.5714285714285714,0.5714285714285714
AABABABBABAAAB,abscount,N,,,,7,8,6,0.5714285714285714,0.5714285714285714
AABABABBABAAAB,likelihood_ratio,A,1.380211241711606,0,7,7,8,6,0.5714285714285714,0.5714285714285714
AABABABBABAAAB,naive_probability,A,0.75,0,1,7,8,6,0.5714285714285714,0.5714285714285714
AAABAAABABBBAA,information,A,0.67988480751028646,0.13597696150205729,6,4,9,5,0.8571428571428571,0.5714285714285714
AAABAAABABBBAA,relcount,A,0.75,0.25,4,4,9,5,0.8571428571428571,0.5714285714285714
AAABAAABABBBAA,abscount,N,,,,4,9,5,0.8571428571428571,0.5714285714285714
AAABAAABABBBAA,likelihood_ratio,A,1.7781512503836434,0,6,4,9,5,0.8571428571428571,0.5714285714285714
AAABAAABABBBAA,naive_probability,A,0.75,0,1,4,9,5,0.8571428571428571,0.5714285714285714
AAABAAABABBBAB,information,A,0.67988480751028646,0.13597696150205729,6,3,8,6,0.8571428571428571,0.7142857142857143
AAABAAABABBBAB,relcount,A,0.75,0.25,4,3,8,6,0.8571428571428571,0.7142857142857143
AAABAAABABBBAB,abscount,N,,,,3,8,6,0.8571428571428571,0.7142857142857143
AAABAAABABBBAB,likelihood_ratio,A,1.7781512503836434,0,6,3,8,6,0.8571428571428571,0.7142857142857143
AAABAAABABBBAB,naive_probability,A,0.75,0,1,3,8,6,0.8571428571428571,0.7142857142857143
