trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back
BBAAAAAA,lba_k0_d0.125,A,0.75,0.25,8,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.125_leak0.2_beta0.1,N,,,,4,6,2,6,0.75,1.0
BBAAAAAA,abscount,A,0.75,0.25,8,4,6,2,6,0.75,1.0
BBAAAAAA,lba_k0_d0.5,B,1.0,0.0,2,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.125_leak0.2_beta0,A,0.75,0.25,8,4,6,2,6,0.75,1.0
AAAABBBB,information,A,0.75,0.0,4,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.0,3,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.06_leak0_beta0.1,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,likelihood_ratio,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.125_leak0_beta0.1,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,naive,A,0.75,0,1,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.25_leak0_beta0.1,A,0.75,0,3,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.06_leak0.2_beta0,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,lba_k0_d0.25,A,0.75,0.0,3,4,4,4,4,1.0,1.0
AAAABBBB,snr_meandefault,B,1.09271081987,0.5,6,4,4,4,4,1.0,1.0
AAAABBBB,snr,B,1.09271081987,0.0,6,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.25_leak0.2_beta0.1,A,0.75,0,3,4,4,4,4,1.0,1.0
AAAABBBB,lba_k0_d0.06,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,relcount,A,0.8,0.2,5,4,4,4,4,1.0,1.0
AAAABBBB,lba_k0_d0.125,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.125_leak0.2_beta0.1,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,abscount,N,,,,4,4,4,4,1.0,1.0
AAAABBBB,lba_k0_d0.5,A,1.0,0.0,2,4,4,4,4,1.0,1.0
AAAABBBB,blca_k0_wi0.125_leak0.2_beta0,N,,,,4,4,4,4,1.0,1.0
BABABABA,information,B,0.75,0.5625,7,0,4,4,4,0.5,0.5
BABABABA,blca_k0_wi0.25_leak0.2_beta0,B,0.75,0.5,5,0,4,4,4,0.5,0.5
BABABABA,blca_k0_wi0.06_leak0_beta0.1,N,,,,0,4,4,4,0.5,0.5
BABABABA,likelihood_ratio,N,,,,0,4,4,4,0.5,0.5
BABABABA,blca_k0_wi0.125_leak0_beta0.1,N,,,,0,4,4,4,0.5,0.5
BABABABA,naive,N,,,,0,4,4,4,0.5,0.5
BABABABA,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,0,4,4,4,0.5,0.5
BABABABA,blca_k0_wi0.25_leak0_beta0.1,B,0.775516937773,0.494351345022,7,0,4,4,4,0.5,0.5
BABABABA,blca_k0_wi0.06_leak0.2_beta0,N,,,,0,4,4,4,0.5,0.5
BABABABA,lba_k0_d0.25,B,0.75,0.5,5,0,4,4,4,0.5,0.5
BABABABA,snr_meandefault,A,0.707106781187,0.125,2,0,4,4,4,0.5,0.5
BABABABA,snr,A,0.707106781187,0.0,2,0,4,4,4,0.5,0.5
BABABABA,blca_k0_wi0.25_leak0.2_beta0.1,B,0.775516937773,0.494351345022,7,0,4,4,4,0.5,0.5
BABABABA,lba_k0_d0.06,N,,,,0,4,4,4,0.5,0.5
BABABABA,relcount,B,0.666666666667,0.333333333333,3,0,4,4,4,0.5,0.5
